city,state,latitude,longitude
Amchitka,AK,51.56722,178.8775
Sunik (historical),AK,52.43333,173.6
Attu,AK,52.9403,173.25
Ugiatok (historical),AK,52.41667,173.58333
Siksatok (historical),AK,52.43333,173.6
Navy Town,AK,52.84083,173.17556
Ugtikun (historical),AK,52.41667,173.58333
Ugtumuk (historical),AK,52.41667,173.58333
Ukashik (historical),AK,52.41667,173.58333
Bauxite,AL,34.04732,-85.45968
Cherokee,TX,30.98239,-98.70754
Baxters,AL,31.75766,-85.58105
College Hill,TX,33.41567,-94.61298
Concrete,TX,29.2383,-97.29304
Cost,TX,29.43746,-97.52888
Bay Minette,AL,30.88296,-87.77305
Doty,TX,30.16021,-93.94601
East Fresnos Colonia,TX,26.13424,-97.47026
Edna,TX,28.97859,-96.64609
El Monte Colonia,TX,26.33035,-97.98639
Evans,TX,32.94125,-94.25269
Bay Springs,AL,34.17593,-85.71552
Fischer,TX,29.97688,-98.26585
Bay View,AL,33.55872,-86.97361
Bay View Estates,AL,34.22648,-85.70552
Bayleys Corner,AL,30.46492,-88.11444
Bayou La Batre,AL,30.40352,-88.24852
Henderson,TX,32.15322,-94.79938
High,TX,33.61233,-95.74719
Bayside,AL,34.55648,-86.96751
Ignacio Perez Colonia,TX,26.17841,-98.10917
Inwood,TX,32.93068,-96.82167
Bazemore,AL,33.89455,-87.70002
Beach Grove (historical),AL,34.84036,-87.4603
Kittrell,TX,30.96546,-95.49633
Koppe,TX,30.57242,-96.32635
Beachboro (historical),AL,34.85286,-86.20776
Beacon,AL,31.7146,-86.82303
Beacon Hills,AL,33.45288,-86.7936
Los Angeles,TX,28.46582,-99.00003
Beacon Point,AL,33.364,-87.56862
Matilda,TX,28.95943,-96.67942
Meaders,TX,32.88818,-96.8125
Melo,TX,28.62444,-97.42027
Midway,TX,33.08929,-94.58215
Miguel,TX,28.92358,-98.82058
Mooredale,TX,29.3108,-95.82828
Beamon,AL,31.51906,-85.58605
Beans Mill,AL,32.69708,-85.26744
Natalia,TX,29.18968,-98.86253
Beans Crossroads,AL,31.99932,-85.85356
New Falcon,TX,26.63866,-99.09559
Northrup,TX,30.1005,-96.97026
Parvin,TX,33.25345,-96.87028
Primrose,TX,32.61152,-97.43335
Rankin,TX,32.2057,-96.70666
Bear Creek,AL,34.65648,-87.73336
Rebecca Colonia,TX,26.20424,-97.93333
Road Runner Colonia Number 2,TX,26.16035,-98.10223
San Manuel,TX,26.56451,-98.12112
Sauceda Colonia,TX,26.35646,-98.14834
Shelby,TX,30.02161,-96.59831
Slater,TX,31.3435,-97.96975
South Toledo Bend,TX,31.15324,-93.60462
Sowers,TX,32.82846,-96.99334
Spivey Crossing,TX,31.78849,-97.32446
Steedham,TX,33.69733,-96.77944
Sulphur,TX,33.31291,-94.05574
Surf Oaks,TX,29.58912,-94.99632
Thedford,TX,32.48459,-95.39662
Timberhill Villa Number 4 Colonia,TX,26.29035,-98.2214
Val Verde North Colonia,TX,26.20146,-98.0864
Vera,TX,33.63343,-99.5662
Walnut Grove,TX,29.86827,-98.73475
Warner Junction,TX,33.80149,-96.53583
Warsaw Center,TX,32.55458,-96.41554
Wesley Grove,TX,30.68575,-95.78912
Zion Grove,TX,31.87489,-94.78271
Beards Mill,AL,33.36567,-88.11975
Orchard Acres,SC,34.90817,-82.32234
Ben Hur,VA,36.73287,-83.08211
Beverlytown,VA,37.65208,-79.30337
Bickley Mill,VA,36.88899,-82.27764
Beasley (historical),AL,33.7576,-85.98164
Beasley,AL,33.21207,-88.10003
Blue Ridge Acres,VA,38.03125,-78.79974
Boaz,VA,36.74682,-76.76162
Boulevard Heights,VA,37.28821,-77.40276
Buddle,VA,36.91818,-80.84813
Capeville,VA,37.20292,-75.95715
Claresville,VA,36.62265,-77.45081
Beatrice,AL,31.73349,-87.20471
Cove,VA,36.98209,-78.74556
Crockett,VA,36.88623,-81.19204
Doran,VA,37.09261,-81.83345
Beauregard,AL,32.54319,-85.37078
Dropmore,VA,37.28763,-80.0581
Dudie,VA,38.74512,-77.88416
Duty,VA,37.0815,-82.1518
Eton Hill,VA,37.22569,-80.00809
Fairlee,VA,38.87372,-77.27137
Fort Hunt,VA,38.73289,-77.05803
Franks Mill,VA,38.22207,-79.10698
Genito,VA,37.46209,-77.85917
Gibson Mill,VA,36.60619,-83.57602
Grant,VA,36.66234,-81.40399
Green Bay,VA,37.96514,-77.69471
Guinea,VA,38.14374,-77.43776
Hallwood,VA,37.87763,-75.58909
Hickory Run,VA,36.96515,-77.84889
Hume,VA,38.83206,-77.99944
Jack,VA,37.19654,-77.50915
Lauraville,VA,37.96041,-77.19525
Lodi,VA,36.71484,-81.77734
Long Branch,VA,38.18763,-77.39332
Lynnwood,VA,38.31013,-78.77169
Machodoc,VA,38.08041,-76.69663
Michaux,VA,37.64876,-77.90194
Midvale,VA,37.83597,-79.2867
Mount Pleasant,VA,38.10236,-77.05192
Nelsonia,VA,37.81985,-75.58715
Old Coach Hills,VA,37.4432,-77.51888
Oldfields,VA,37.36125,-79.93976
Oliver,VA,37.8582,-77.53276
Otter Hill,VA,37.25792,-79.44781
Beaver Town,AL,33.19457,-88.19809
Red Valley,VA,37.13514,-79.86142
Salem,VA,38.64429,-78.54779
Sandy Ridge,VA,37.23765,-77.50026
Shifflet Corner,VA,38.30874,-78.27306
Signpine,VA,37.44375,-76.64496
Sperryville,VA,38.65707,-78.22611
Stewarts Landing,VA,37.50874,-75.9041
Stratton,VA,37.08788,-82.36042
Sun,VA,36.94177,-82.2857
Beaverton,AL,33.93122,-88.02031
Tally Ho Estates,VA,37.80542,-77.92111
Terrapin Forest,VA,38.66234,-77.39693
Beck,AL,31.25628,-86.58468
Tyro,VA,37.82153,-79.00475
Beckleys (historical),AL,32.28292,-87.92807
Wilde Acres,VA,39.14705,-78.39973
Beckman,AL,34.8387,-87.65281
Woodmont,VA,37.53154,-77.58582
Yorktown,VA,37.23858,-76.50894
Yuma,VA,36.6151,-82.61238
Beda,AL,31.05101,-86.58273
Bedford,AL,33.79594,-88.20698
Antioch,WV,38.78592,-81.50485
Asco,WV,37.50206,-81.62594
Barrett,WV,37.88733,-81.67011
Baxter,WV,39.5576,-78.0775
Beard,WV,38.07679,-80.22729
Birchton,WV,37.93289,-81.5415
Broadmoor Addition,WV,39.25758,-81.62096
Bula,WV,39.70313,-80.2573
Cool Springs,WV,39.16258,-81.47512
Copen,WV,38.8376,-80.72954
Cox Town,WV,39.02787,-80.47509
Cub City,WV,37.61067,-81.799
Elkhorn,WV,37.38567,-81.41094
Filbert,WV,37.31817,-81.544
Frenchburg,WV,39.31538,-78.66057
Frost,WV,38.27068,-79.88061
Gauley,WV,38.14927,-81.17927
Hambleton,WV,39.08205,-79.64534
Hartland,WV,38.43205,-81.11261
Isaban,WV,37.53011,-81.88817
Kettle,WV,38.57482,-81.48985
Laurel Run,WV,39.65119,-79.72255
